Match,Winner,Ctry
1,England,gb-en
2,Georgia,ge
3,Ireland,ie
4,Japan,jp
5,France,fr
6,Samoa,ws
7,Wales,gb-wa
8,New Zealand,nz
9,Scotland,gb-sc
10,Australia,au
11,France,fr
12,New Zealand,nz
13,Argentina,ar
14,Italy,it
15,South Africa,za
16,Wales,gb-wa
17,Australia,au
18,Scotland,gb-sc
19,Ireland,ie
20,Tonga,to
21,Wales,gb-wa
22,France,fr
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
Final,,